recipe_id,r_idx
17298,1960
17300,1961
17306,1962
17309,1963
17310,1964
17316,1965
17326,1966
17327,1967
17341,1968
17342,1969
17348,1970
17353,1971
17356,1972
17359,1973
17360,1974
17365,1975
17374,1976
17375,1977
17382,1978
17385,1979
17394,1980
17398,1981
17407,1982
17412,1983
17425,1984
17444,1985
17449,1986
17452,1987
17457,1988
17475,1989
17480,1990
17488,1991
17499,1992
17502,1993
17509,1994
17510,1995
17514,1996
17515,1997
17518,1998
17524,1999
17528,2000
17532,2001
17559,2002
17566,2003
17572,2004
17574,2005
17576,2006
17582,2007
17586,2008
17588,2009
17590,2010
17591,2011
17592,2012
17596,2013
17597,2014
17598,2015
17600,2016
17601,2017
17602,2018
17610,2019
17614,2020
17615,2021
17617,2022
17624,2023
17630,2024
17631,2025
17648,2026
17649,2027
17651,2028
17655,2029
17656,2030
17658,2031
17660,2032
17665,2033
17668,2034
17685,2035
17689,2036
17694,2037
17698,2038
17701,2039
17704,2040
17718,2041
17722,2042
17724,2043
17725,2044
17726,2045
17739,2046
17743,2047
17749,2048
17751,2049
17752,2050
17753,2051
17755,2052
17759,2053
17761,2054
17762,2055
17764,2056
17767,2057
17776,2058
17778,2059
17794,2060
17797,2061
17801,2062
17823,2063
17824,2064
17833,2065
17839,2066
17865,2067
17866,2068
17874,2069
17880,2070
17889,2071
17891,2072
17892,2073
17904,2074
17905,2075
17927,2076
17934,2077
17937,2078
17944,2079
17953,2080
17959,2081
17961,2082
17962,2083
17963,2084
17977,2085
17978,2086
17980,2087
17981,2088
17983,2089
17985,2090
17987,2091
17998,2092
18001,2093
18002,2094
18005,2095
18007,2096
18010,2097
18013,2098
18018,2099
18020,2100
18029,2101
18036,2102
18039,2103
18048,2104
18058,2105
18061,2106
18065,2107
18066,2108
18070,2109
18085,2110
18095,2111
18096,2112
18103,2113
18110,2114
18115,2115
18121,2116
18122,2117
18123,2118
18124,2119
18147,2120
18148,2121
18152,2122
18157,2123
18172,2124
18185,2125
18197,2126
18200,2127
18209,2128
18215,2129
18216,2130
18229,2131
18236,2132
18240,2133
18255,2134
18258,2135
18265,2136
18266,2137
18272,2138
18273,2139
18286,2140
18296,2141
18305,2142
18307,2143
18308,2144
18319,2145
18327,2146
18358,2147
18359,2148
18365,2149
18378,2150
18387,2151
18388,2152
18391,2153
18412,2154
18414,2155
18422,2156
18446,2157
18448,2158
18454,2159
18456,2160
18458,2161
18481,2162
18484,2163
18487,2164
18497,2165
18501,2166
18506,2167
18510,2168
18513,2169
18541,2170
18546,2171
18550,2172
18556,2173
18563,2174
18575,2175
18583,2176
18584,2177
18586,2178
18597,2179
18599,2180
18605,2181
18613,2182
18616,2183
18631,2184
18632,2185
18643,2186
18646,2187
18647,2188
18651,2189
18653,2190
18655,2191
18656,2192
18657,2193
18659,2194
18662,2195
18663,2196
18675,2197
18678,2198
18690,2199
18693,2200
18703,2201
18725,2202
18729,2203
18732,2204
18741,2205
18757,2206
18761,2207
18762,2208
18766,2209
18778,2210
18787,2211
18792,2212
18803,2213
18812,2214
18816,2215
18817,2216
18824,2217
18829,2218
18831,2219
18834,2220
18839,2221
18840,2222
18859,2223
18865,2224
18869,2225
18872,2226
18873,2227
18877,2228
18879,2229
18880,2230
18888,2231
18894,2232
18897,2233
18908,2234
18910,2235
18911,2236
18914,2237
18915,2238
18917,2239
18942,2240
